empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|TARGET|TARGET_PREDICHO|TARGET_PREDICHO_PROB
ADVM|0|NASDAQ|2020|4|3|19|35|527067|9.06|8.31|8.96|8.41||1.0|0.59
AFIN|0|NASDAQ|2020|4|3|19|36|353330|5.4|4.76|4.7885|5.28||1.0|0.74
ALTM|0|NASDAQ|2020|4|3|19|36|228960|0.7327|0.6661|0.68|0.7074||1.0|0.85
ASPS|0|NASDAQ|2020|4|3|19|38|104418|7.23|6.46|6.6|6.73||1.0|0.63
BBBY|0|NASDAQ|2020|4|3|19|41|7947072|3.72|3.43|3.63|3.55||1.0|0.62
BHF|0|NASDAQ|2020|4|3|19|42|980196|20.860001|18.870001|18.940001|20.674999||1.0|0.61
BKCC|0|NASDAQ|2020|4|3|19|37|313516|1.95|1.755|1.76|1.84||1.0|0.62
BKEP|0|NASDAQ|2020|4|3|19|29|44570|0.89|0.85|0.8791|0.89||1.0|0.65
BSET|0|NASDAQ|2020|4|3|19|39|50817|4.83|4.26|4.3004|4.83||1.0|0.77
BXRX|0|NASDAQ|2020|4|3|19|40|506908|2.4|2.22|2.29|2.22||1.0|0.92
CDLX|0|NASDAQ|2020|4|3|19|46|580519|31.2966|28.57|28.764999|30.950001||1.0|0.72
CDXC|0|NASDAQ|2020|4|3|19|41|72993|3.24|3.04|3.1|3.06||1.0|0.69
CERC|0|NASDAQ|2020|4|3|19|38|60645|2.22|2.03|2.0701|2.1||1.0|0.9
