empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|TARGET|TARGET_PREDICHO|TARGET_PREDICHO_PROB
AGEN|0|NASDAQ|2020|4|3|19|36|598229|2.43|2.34|2.38|2.35||1.0|0.61
AKRO|0|NASDAQ|2020|4|3|19|27|108357|20.0|18.5|19.959999|19.24||1.0|0.59
ANY|0|NASDAQ|2020|4|3|19|19|7490|0.7|0.61|0.61|0.61||1.0|0.67
AXLA|0|NASDAQ|2020|4|3|19|34|10996|3.36|2.8|3.13|2.8||1.0|0.74
AXTI|0|NASDAQ|2020|4|3|19|41|110812|2.94|2.81|2.865|2.93||1.0|0.7
BDSI|0|NASDAQ|2020|4|3|19|41|378442|3.95|3.71|3.79|3.78||1.0|0.64
BKEPP|0|NASDAQ|2020|4|3|19|9|36355|4.64|4.4|4.6376|4.64||1.0|0.6
BKSC|0|NASDAQ|2020|4|3|19|17|2184|14.415|13.36|14.34|13.36||1.0|0.6
CATB|0|NASDAQ|2020|4|3|19|45|41132|3.91|3.73|3.76|3.82||1.0|0.59
CDXC|0|NASDAQ|2020|4|3|19|41|72993|3.24|3.04|3.1|3.06||1.0|0.7
CERS|0|NASDAQ|2020|4|3|19|46|830640|4.62|4.43|4.52|4.52||1.0|0.64
