empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|DIAS_HASTA_FIN_MES|DIAS_HASTA_FIN_TRIMESTRE|TARGET|TARGET_PREDICHO|TARGET_PREDICHO_PROB
ABEO|0|NASDAQ|2020|7|8|19|30|1716096|3.78|3.312|3.4093|3.52|23.0|84.0||1.0|0.6995313763618469
ADES|0|NASDAQ|2020|7|8|19|31|64378|4.9512|4.81|4.87|4.85|23.0|84.0||1.0|0.6471782326698303
ADXS|0|NASDAQ|2020|7|8|19|20|365857|0.5678|0.5401|0.5516|0.5401|23.0|84.0||1.0|0.6725650429725647
ALNA|0|NASDAQ|2020|7|8|19|31|220287|1.48|1.39|1.445|1.48|23.0|84.0||1.0|0.8593302965164185
ALTM|0|NASDAQ|2020|7|8|19|30|13626|13.49|12.36|12.73|13.39|23.0|84.0||1.0|0.7672460079193115
ANIP|0|NASDAQ|2020|7|8|19|33|54337|30.83|28.629999|28.65|30.83|23.0|84.0||1.0|0.648005485534668
APEN|0|NASDAQ|2020|7|8|19|26|8841|1.67|1.58|1.59|1.6273|23.0|84.0||1.0|0.6814351081848145
ATLC|0|NASDAQ|2020|7|8|19|23|6331|10.49|10.17|10.4|10.48|23.0|84.0||1.0|0.860226035118103
ATRO|0|NASDAQ|2020|7|8|19|29|102829|9.8|9.37|9.62|10.18|23.0|84.0||1.0|0.7179388403892517
AXAS|0|NASDAQ|2020|7|8|19|35|2921655|0.2136|0.2011|0.2019|0.207|23.0|84.0||1.0|0.8548161387443542
BCOR|0|NASDAQ|2020|7|8|19|29|150271|11.3024|11.02|11.16|11.13|23.0|84.0||1.0|0.9105934500694276
BIMI|0|NASDAQ|2020|7|8|19|34|213332|2.03|1.9343|1.96|1.97|23.0|84.0||1.0|0.7352008223533629
BLMN|0|NASDAQ|2020|7|8|19|37|2265785|10.28|9.8|9.86|10.07|23.0|84.0||1.0|0.8628140687942505
CHUY|0|NASDAQ|2020|7|8|19|41|54957|13.95|13.31|13.62|13.66|23.0|84.0||1.0|0.789162814617157
CIH|0|NASDAQ|2020|7|8|19|39|58393|2.3|2.16|2.27|2.25|23.0|84.0||1.0|0.7758357524871826
CJJD|0|NASDAQ|2020|7|8|19|40|967195|1.43|1.37|1.415|1.41|23.0|84.0||1.0|0.7373346090316772
CMLS|0|NASDAQ|2020|7|8|19|41|63048|3.89|3.75|3.8|3.75|23.0|84.0||1.0|0.7278025150299072
COLL|0|NASDAQ|2020|7|8|19|42|214061|17.2199|16.43|16.795|17.09|23.0|84.0||1.0|0.7175468802452087
COMM|0|NASDAQ|2020|7|8|19|42|2045460|8.06|7.715|7.755|8.06|23.0|84.0||1.0|0.8950791358947754
CPTA|0|NASDAQ|2020|7|8|19|39|116236|2.34|2.28|2.3|2.28|23.0|84.0||1.0|0.7138379216194153
