empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|DIAS_HASTA_FIN_MES|DIAS_HASTA_FIN_TRIMESTRE|TARGET|TARGET_PREDICHO|TARGET_PREDICHO_PROB
AACG|0|NASDAQ|2020|7|7|16|56|6930|1.36|1.36|1.36|1.36|24.0|85.0|||
AACG|1|NASDAQ|2020|7|6|15|30|49200|1.4|1.3|1.36|1.3|24.0|85.0|||
AACG|2|NASDAQ|2020|7|2|15|30|46800|1.39|1.3|1.31|1.3|24.0|85.0|||
AACG|3|NASDAQ|2020|7|1|15|30|95400|1.4|1.18|1.31|1.25|24.0|85.0|||
AACG|4|NASDAQ|2020|6|30|15|30|40200|1.27|1.16|1.26|1.16|24.0|85.0|||
AACG|5|NASDAQ|2020|6|29|15|30|46900|1.25|1.15|1.17|1.15|24.0|85.0|||
AACG|6|NASDAQ|2020|6|26|15|30|43700|1.18|1.12|1.15|1.12|24.0|85.0|||
AACG|7|NASDAQ|2020|6|25|15|30|72900|1.25|1.11|1.23|1.22|24.0|85.0|0.0||
AACG|8|NASDAQ|2020|6|24|15|30|80400|1.3|1.14|1.25|1.14|24.0|85.0|0.0||
AACG|9|NASDAQ|2020|6|23|15|30|57000|1.22|1.14|1.17|1.19|24.0|85.0|0.0||
AACG|10|NASDAQ|2020|6|22|15|30|115500|1.17|0.97|1.14|1.0|24.0|85.0|0.0||
AACG|11|NASDAQ|2020|6|19|15|30|52500|1.03|0.95|0.95|0.96|24.0|85.0|1.0||
AACG|12|NASDAQ|2020|6|18|15|30|113400|1.13|0.93|1.0|1.08|24.0|85.0|0.0||
AACG|13|NASDAQ|2020|6|17|15|30|136600|1.3|1.11|1.12|1.26|24.0|85.0|0.0||
AACG|14|NASDAQ|2020|6|16|15|30|1621800|1.8|1.12|1.12|1.33|24.0|85.0|0.0||
AACG|15|NASDAQ|2020|6|15|15|30|159200|1.36|1.14|1.29|1.14|24.0|85.0|0.0||
AACG|16|NASDAQ|2020|6|12|15|30|64200|1.23|1.01|1.14|1.2|24.0|85.0|0.0||
AACG|17|NASDAQ|2020|6|11|15|30|416100|1.5|1.02|1.12|1.31|24.0|85.0|0.0||
AACG|18|NASDAQ|2020|6|10|15|30|30500|1.0|0.93|1.0|0.93|24.0|85.0|0.0||
AACG|19|NASDAQ|2020|6|9|15|30|17100|0.93|0.83|0.92|0.93|24.0|85.0|1.0||
AACG|20|NASDAQ|2020|6|8|15|30|32600|0.93|0.82|0.89|0.9|24.0|85.0|1.0||
AACG|21|NASDAQ|2020|6|5|15|30|30000|0.91|0.8|0.86|0.87|24.0|85.0|1.0||
AACG|22|NASDAQ|2020|6|4|15|30|7900|0.91|0.84|0.86|0.88|24.0|85.0|1.0||
AACG|23|NASDAQ|2020|6|3|15|30|6600|0.96|0.84|0.91|0.84|24.0|85.0|0.0||
AACG|24|NASDAQ|2020|6|2|15|30|4100|0.92|0.87|0.88|0.87|24.0|85.0|1.0||
AACG|25|NASDAQ|2020|6|1|15|30|6200|0.95|0.87|0.91|0.9|24.0|85.0|0.0||
AACG|26|NASDAQ|2020|5|29|15|30|6200|0.95|0.9|0.9|0.95|24.0|85.0|0.0||
AACG|27|NASDAQ|2020|5|28|15|30|10100|0.95|0.92|0.94|0.92|24.0|85.0|0.0||
AACG|28|NASDAQ|2020|5|27|15|30|10100|0.93|0.89|0.9|0.89|24.0|85.0|0.0||
AACG|29|NASDAQ|2020|5|26|15|30|8000|0.9|0.88|0.9|0.88|24.0|85.0|0.0||
AACG|30|NASDAQ|2020|5|22|15|30|8600|0.9|0.83|0.83|0.9|24.0|85.0|0.0||
