empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|TARGET|TARGET_PREDICHO|TARGET_PREDICHO_PROB
AAXN|0|NASDAQ|2020|6|3|21|57|1939650|97.959999|90.32|91.035004|97.480003||1.0|0.8601232767105103
ADSK|0|NASDAQ|2020|6|3|21|58|1814994|227.389999|219.190002|226.27999900000003|220.75||1.0|0.8763734102249146
ADUS|0|NASDAQ|2020|6|3|21|58|89347|102.099998|98.330002|98.370003|99.730003||1.0|0.7879482507705688
AEIS|0|NASDAQ|2020|6|3|21|58|281053|71.110001|67.75|70.190002|68.199997||1.0|0.8346165418624878
AEZS|0|NASDAQ|2020|6|3|21|58|140036|1.18|1.13|1.16|1.15||1.0|0.78079754114151
AGEN|0|NASDAQ|2020|6|3|21|59|4660739|4.18|3.74|3.76|4.18||1.0|0.8414794802665709
AKBA|0|NASDAQ|2020|6|3|21|59|1618023|11.97|11.25|11.85|11.34||1.0|0.9189257025718688
ALGN|0|NASDAQ|2020|6|3|21|59|815059|272.940002|263.130005|268.26001|265.0||1.0|0.833688497543335
ANGI|0|NASDAQ|2020|6|3|22|0|1958874|11.98|11.34|11.74|11.37||1.0|0.8086370825767517
AOSL|0|NASDAQ|2020|6|3|22|0|123991|11.59|10.74|11.46|10.98||1.0|0.9672619104385376
APOG|0|NASDAQ|2020|6|3|22|0|460779|24.719999|23.2612|24.09|23.33||1.0|0.8474447131156921
ARCC|0|NASDAQ|2020|6|3|22|0|2330738|15.8|15.51|15.58|15.69||1.0|0.7770706415176392
ARNA|0|NASDAQ|2020|6|3|22|0|1176494|69.75|66.639999|68.589996|67.32||1.0|0.9395655989646912
ARPO|0|NASDAQ|2020|6|3|22|0|2240006|1.2163|1.1|1.18|1.17||1.0|0.8742093443870544
ASPU|0|NASDAQ|2020|6|3|22|0|266860|10.74|9.76|10.47|9.94||1.0|0.8536919951438904
AUDC|0|NASDAQ|2020|6|3|22|0|646518|40.060001|38.220001|38.689999|38.380001||1.0|0.8481523990631104
AVAV|0|NASDAQ|2020|6|3|22|0|180799|74.230003|72.010002|73.639999|72.82||1.0|0.8863433599472046
BCLI|0|NASDAQ|2020|6|3|22|0|487640|8.15|7.61|8.13|8.0||1.0|0.92414528131485
BILI|0|NASDAQ|2020|6|3|22|0|4646480|34.540001000000004|33.310001|34.150002|34.540001000000004||1.0|0.7797425389289856
BLDP|0|NASDAQ|2020|6|3|22|0|1778680|11.55|11.18|11.47|11.42||1.0|0.9436123371124268
BLFS|0|NASDAQ|2020|6|3|22|0|90634|16.24|15.81|15.9|16.059998999999998||1.0|0.7918269038200378
BMRN|0|NASDAQ|2020|6|3|22|0|1887044|112.379997|107.385597|111.209999|108.339996||1.0|0.808205246925354
