empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|TARGET|TARGET_PREDICHO|TARGET_PREDICHO_PROB
AAXN|0|NASDAQ|2020|4|1|22|0|687666|69.66999799999999|63.700001|64.720001|67.58000200000001|||
ABEO|0|NASDAQ|2020|4|1|22|0|2766771|2.35|1.9|1.99|2.0|||
ABIO|0|NASDAQ|2020|4|1|22|0|10792|2.84|2.61|2.69|2.72||1.0|0.72
ABMD|0|NASDAQ|2020|4|1|22|0|706382|147.360001|140.139999|144.479996|140.949997|||
ACAD|0|NASDAQ|2020|4|1|22|0|1292066|41.73|38.75|39.259998|40.950001|||
ACAM|0|NASDAQ|2020|4|1|18|21|7300|10.0|9.83|9.99|9.83|||
ACER|0|NASDAQ|2020|4|1|22|0|42007|1.89|1.7113|1.735|1.87|||
ACHV|0|NASDAQ|2020|4|1|22|0|540877|0.3372|0.3|0.3186|0.3258|||
ACIA|0|NASDAQ|2020|4|1|22|0|1202226|67.519997|65.300003|66.699997|66.720001|||
ACNB|0|NASDAQ|2020|4|1|22|0|37229|28.0|24.7206|25.01|28.0|||
ACRS|0|NASDAQ|2020|4|1|22|0|213979|1.08|0.9696|1.04|1.03|||
ACTG|0|NASDAQ|2020|4|1|22|0|300959|2.3|2.1388|2.2|2.16|||
ADAP|0|NASDAQ|2020|4|1|22|0|192760|2.84|2.52|2.58|2.52|||
ADIL|0|NASDAQ|2020|4|1|22|0|46576|1.2229|1.05|1.2|1.2265|||
ADMA|0|NASDAQ|2020|4|1|22|0|1640745|2.7742|2.435|2.46|2.74|||
ADRO|0|NASDAQ|2020|4|1|22|0|322807|2.68|2.41|2.42|2.61|||
ADVM|0|NASDAQ|2020|4|1|22|0|1310799|10.21|8.67|8.74|9.3|||
ADXS|0|NASDAQ|2020|4|1|22|0|969251|0.55|0.52|0.5324|0.53||1.0|0.67
AEHR|0|NASDAQ|2020|4|1|22|0|59994|1.65|1.5325|1.57|1.5944|||
AEMD|0|NASDAQ|2020|4|1|22|0|226931|1.57|1.31|1.36|1.51|||
AFH|0|NASDAQ|2020|4|1|21|52|45106|0.34|0.3273|0.3371|0.34|||
AGIO|0|NASDAQ|2020|4|1|22|0|716504|36.314999|34.130001|34.450001|34.509998|||
AGLE|0|NASDAQ|2020|4|1|22|0|56358|4.6|4.33|4.37|4.49||1.0|0.68
AGNC|0|NASDAQ|2020|4|1|22|0|15459991|10.28|9.38|9.49|10.09|||
AGTC|0|NASDAQ|2020|4|1|22|0|170629|3.21|3.02|3.05|3.12|||
AGYS|0|NASDAQ|2020|4|1|22|0|173132|16.559998999999998|15.29|15.55|16.280001000000002|||
AIRG|0|NASDAQ|2020|4|1|22|0|47954|7.08|6.55|6.61|7.08|||
AIRT|0|NASDAQ|2020|4|1|19|9|332|12.5|12.44|12.5|12.5|||
AKBA|0|NASDAQ|2020|4|1|22|0|1145726|7.46|6.61|6.67|7.18|||
AKCA|0|NASDAQ|2020|4|1|22|0|221570|14.05|13.29|13.62|13.78|||
AKER|0|NASDAQ|2020|4|1|22|0|60089|2.14|2.0|2.04|2.14|||
