empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|DIAS_HASTA_FIN_MES|DIAS_HASTA_FIN_TRIMESTRE|TARGET|TARGET_PREDICHO|TARGET_PREDICHO_PROB
ACRX|0|NASDAQ|2020|7|9|21|59|705426|1.0946|1.03|1.05|1.09|22.0|83.0||1.0|0.6942349672317505
APVO|0|NASDAQ|2020|7|9|22|0|354127|9.44|8.41|8.41|9.07|22.0|83.0||1.0|0.7008092403411865
ATLC|0|NASDAQ|2020|7|9|22|0|23129|10.51|9.45|9.95|10.51|22.0|83.0||1.0|0.6709023714065552
AXAS|0|NASDAQ|2020|7|9|22|0|4780142|0.211|0.1911|0.1981|0.21|22.0|83.0||1.0|0.8338022828102112
BBGI|0|NASDAQ|2020|7|9|22|0|284016|2.03|1.8|1.82|2.01|22.0|83.0||1.0|0.7192182540893555
BJRI|0|NASDAQ|2020|7|9|22|0|791926|18.52|16.74|17.01|18.360001|22.0|83.0||1.0|0.7421426773071289
CAAS|0|NASDAQ|2020|7|9|22|0|113945|3.09|2.8|2.815|3.08|22.0|83.0||1.0|0.7223392724990845
CCCL|0|NASDAQ|2020|7|9|22|0|173682|0.79|0.75|0.7898|0.789|22.0|83.0||1.0|0.7093712091445923
CHEF|0|NASDAQ|2020|7|9|22|0|929207|13.05|11.87|12.03|13.0|22.0|83.0||1.0|0.6744550466537476
CMLS|0|NASDAQ|2020|7|9|22|0|227688|3.9899|3.61|3.66|3.81|22.0|83.0||1.0|0.6750516891479492
