empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|DIAS_HASTA_FIN_MES|DIAS_HASTA_FIN_TRIMESTRE|TARGET|TARGET_PREDICHO|TARGET_PREDICHO_PROB
AAL|0|NASDAQ|2020|7|8|19|30|56919390|11.905|11.43|11.49|11.6|23.0|84.0||1.0|0.7237815856933594
ARVN|0|NASDAQ|2020|7|8|19|29|201663|34.32|33.34|33.630001|33.639999|23.0|84.0||1.0|0.7088218927383423
ATLC|0|NASDAQ|2020|7|8|19|23|6331|10.49|10.17|10.4|10.48|23.0|84.0||1.0|0.8176201581954956
AVEO|0|NASDAQ|2020|7|8|19|35|360573|4.87|4.635|4.6486|4.87|23.0|84.0||1.0|0.6921476721763611
BCLI|0|NASDAQ|2020|7|8|19|36|1130299|13.18|12.06|12.17|12.9|23.0|84.0||1.0|0.6762809753417969
BSGM|0|NASDAQ|2020|7|8|19|37|1214437|7.34|6.82|7.18|7.12|23.0|84.0||1.0|0.6704075336456299
CELC|0|NASDAQ|2020|7|8|19|39|5933|7.02|6.55|6.595|6.925|23.0|84.0||1.0|0.7122386693954468
CLRB|0|NASDAQ|2020|7|8|19|42|517960|1.54|1.46|1.485|1.51|23.0|84.0||1.0|0.722847580909729
COCP|0|NASDAQ|2020|7|8|19|42|8292663|1.84|1.62|1.75|1.79|23.0|84.0||1.0|0.737568199634552
COMM|0|NASDAQ|2020|7|8|19|42|2045460|8.06|7.715|7.755|8.06|23.0|84.0||1.0|0.6807350516319275
CPSH|0|NASDAQ|2020|7|8|19|41|746284|2.5812|2.2301|2.305|2.48|23.0|84.0||1.0|0.6844040155410767
CPST|0|NASDAQ|2020|7|8|19|38|86604|3.22|3.05|3.17|3.05|23.0|84.0||1.0|0.6109166741371155
CPTA|0|NASDAQ|2020|7|8|19|39|116236|2.34|2.28|2.3|2.28|23.0|84.0||1.0|0.814854085445404
