empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|DIAS_HASTA_FIN_MES|DIAS_HASTA_FIN_TRIMESTRE|TARGET|TARGET_PREDICHO|TARGET_PREDICHO_PROB
AAL|0|NASDAQ|2020|7|9|21|58|74771141|11.92|11.15|11.17|11.94|22.0|83.0||1.0|0.6964259743690491
ACRX|0|NASDAQ|2020|7|9|21|59|705426|1.0946|1.03|1.05|1.09|22.0|83.0||1.0|0.6954490542411804
ADXS|0|NASDAQ|2020|7|9|21|59|467886|0.5724|0.546|0.55|0.57|22.0|83.0||1.0|0.7331161499023438
ANIP|0|NASDAQ|2020|7|9|22|0|156269|29.049999|26.379999|26.379999|29.049999|22.0|83.0||1.0|0.8174007534980774
APEN|0|NASDAQ|2020|7|9|22|0|22614|1.5927|1.5|1.515|1.5927|22.0|83.0||1.0|0.8010895252227783
AVEO|0|NASDAQ|2020|7|9|22|0|1019600|4.72|4.25|4.34|4.72|22.0|83.0||1.0|0.8908487558364868
AXAS|0|NASDAQ|2020|7|9|22|0|4780142|0.211|0.1911|0.1981|0.21|22.0|83.0||1.0|0.7552556395530701
BJRI|0|NASDAQ|2020|7|9|22|0|791926|18.52|16.74|17.01|18.360001|22.0|83.0||1.0|0.8377594947814941
CDXC|0|NASDAQ|2020|7|9|22|0|1108329|5.15|4.9|5.0|4.9|22.0|83.0||1.0|0.686827540397644
CELC|0|NASDAQ|2020|7|9|22|0|11833|6.62|6.05|6.3|6.23|22.0|83.0||1.0|0.8199797868728638
CHMA|0|NASDAQ|2020|7|9|22|0|740096|4.75|4.45|4.48|4.54|22.0|83.0||1.0|0.7925452589988708
CHUY|0|NASDAQ|2020|7|9|22|0|136413|13.68|12.81|12.83|13.68|22.0|83.0||1.0|0.8260468840599059
CLRB|0|NASDAQ|2020|7|9|22|0|954491|1.65|1.51|1.55|1.6|22.0|83.0||1.0|0.6831477880477905
CPTA|0|NASDAQ|2020|7|9|22|0|101703|2.33|2.23|2.27|2.31|22.0|83.0||1.0|0.896784782409668
