empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|PENDIENTE_SMA_4_PRECIO|PENDIENTE_1M_SMA_4_PRECIO|PENDIENTE_2M_SMA_4_PRECIO|RATIO_SMA_4_PRECIO|RATIO_MAXRELATIVO_4_PRECIO|RATIO_MINRELATIVO_4_PRECIO|RATIO_U_SMA_4_PRECIO|RATIO_U_MAXRELATIVO_4_PRECIO|RATIO_U_MINRELATIVO_4_PRECIO|CURTOSIS_4_PRECIO|SKEWNESS_4_PRECIO|PENDIENTE_SMA_4_VOLUMEN|PENDIENTE_1M_SMA_4_VOLUMEN|PENDIENTE_2M_SMA_4_VOLUMEN|RATIO_SMA_4_VOLUMEN|RATIO_MAXRELATIVO_4_VOLUMEN|RATIO_MINRELATIVO_4_VOLUMEN|RATIO_U_SMA_4_VOLUMEN|RATIO_U_MAXRELATIVO_4_VOLUMEN|RATIO_U_MINRELATIVO_4_VOLUMEN|CURTOSIS_4_VOLUMEN|SKEWNESS_4_VOLUMEN|PENDIENTE_SMA_7_PRECIO|PENDIENTE_1M_SMA_7_PRECIO|PENDIENTE_2M_SMA_7_PRECIO|RATIO_SMA_7_PRECIO|RATIO_MAXRELATIVO_7_PRECIO|RATIO_MINRELATIVO_7_PRECIO|RATIO_U_SMA_7_PRECIO|RATIO_U_MAXRELATIVO_7_PRECIO|RATIO_U_MINRELATIVO_7_PRECIO|CURTOSIS_7_PRECIO|SKEWNESS_7_PRECIO|PENDIENTE_SMA_7_VOLUMEN|PENDIENTE_1M_SMA_7_VOLUMEN|PENDIENTE_2M_SMA_7_VOLUMEN|RATIO_SMA_7_VOLUMEN|RATIO_MAXRELATIVO_7_VOLUMEN|RATIO_MINRELATIVO_7_VOLUMEN|RATIO_U_SMA_7_VOLUMEN|RATIO_U_MAXRELATIVO_7_VOLUMEN|RATIO_U_MINRELATIVO_7_VOLUMEN|CURTOSIS_7_VOLUMEN|SKEWNESS_7_VOLUMEN|PENDIENTE_SMA_20_PRECIO|PENDIENTE_1M_SMA_20_PRECIO|PENDIENTE_2M_SMA_20_PRECIO|RATIO_SMA_20_PRECIO|RATIO_MAXRELATIVO_20_PRECIO|RATIO_MINRELATIVO_20_PRECIO|RATIO_U_SMA_20_PRECIO|RATIO_U_MAXRELATIVO_20_PRECIO|RATIO_U_MINRELATIVO_20_PRECIO|CURTOSIS_20_PRECIO|SKEWNESS_20_PRECIO|PENDIENTE_SMA_20_VOLUMEN|PENDIENTE_1M_SMA_20_VOLUMEN|PENDIENTE_2M_SMA_20_VOLUMEN|RATIO_SMA_20_VOLUMEN|RATIO_MAXRELATIVO_20_VOLUMEN|RATIO_MINRELATIVO_20_VOLUMEN|RATIO_U_SMA_20_VOLUMEN|RATIO_U_MAXRELATIVO_20_VOLUMEN|RATIO_U_MINRELATIVO_20_VOLUMEN|CURTOSIS_20_VOLUMEN|SKEWNESS_20_VOLUMEN|PENDIENTE_SMA_50_PRECIO|PENDIENTE_1M_SMA_50_PRECIO|PENDIENTE_2M_SMA_50_PRECIO|RATIO_SMA_50_PRECIO|RATIO_MAXRELATIVO_50_PRECIO|RATIO_MINRELATIVO_50_PRECIO|RATIO_U_SMA_50_PRECIO|RATIO_U_MAXRELATIVO_50_PRECIO|RATIO_U_MINRELATIVO_50_PRECIO|CURTOSIS_50_PRECIO|SKEWNESS_50_PRECIO|PENDIENTE_SMA_50_VOLUMEN|PENDIENTE_1M_SMA_50_VOLUMEN|PENDIENTE_2M_SMA_50_VOLUMEN|RATIO_SMA_50_VOLUMEN|RATIO_MAXRELATIVO_50_VOLUMEN|RATIO_MINRELATIVO_50_VOLUMEN|RATIO_U_SMA_50_VOLUMEN|RATIO_U_MAXRELATIVO_50_VOLUMEN|RATIO_U_MINRELATIVO_50_VOLUMEN|CURTOSIS_50_VOLUMEN|SKEWNESS_50_VOLUMEN|TARGET|TARGET_PREDICHO|TARGET_PREDICHO_PROB
AACG|0|NASDAQ|2020|4|1|18|32|1716|1.01|0.94|0.9485|0.948|0.3|0.2|1.0|100.0|99.0|100.0|101.0|100.0|101.0|3.7|1.9|37.6|383.7|-1000000.0|33.0|21.0|100.0|83.0|52.0|251.0|-1.1|-0.3|-1.3|0.4|-3.2|101.0|95.0|110.0|92.0|86.0|100.0|1.5|-0.8|39.8|50.2|1000000.0|25.0|16.0|100.0|97.0|59.0|379.0|0.1|-0.4|0.1|-2.4|1.9|104.0|95.0|130.0|106.0|96.0|132.0|0.8|-1.1|2.6|39.4|-1000000.0|13.0|5.0|100.0|20.0|7.0|152.0|0.8|1.2|1.2|0.5|1.9|90.0|62.0|130.0|145.0|100.0|210.0|0.6|0.6|28.5|81.5|1000000.0|8.0|2.0|100.0|126.0|30.0|1527.0|4.1|1.9|||
AAME|0|NASDAQ|2020|4|1|17|39|428|2.15|2.11|2.15|2.11|1.2|-1.9|25.6|100.0|96.0|102.0|104.0|100.0|107.0|2.7|1.6|4.2|-29.9|1000000.0|105.0|86.0|143.0|123.0|100.0|167.0|1.1|-0.5|1.7|1.6|11.2|97.0|90.0|102.0|109.0|100.0|114.0|0.1|1.0|-0.9|5.6|-1000000.0|63.0|27.0|143.0|59.0|25.0|133.0|1.3|1.5|0.9|1.3|7.8|92.0|83.0|102.0|107.0|97.0|119.0|-1.5|0.0|20.7|-3.3|0.0|35.0|7.0|-1.0|182.0|36.0|-1.0|8.4|2.6|-0.2|0.0|-6.3|94.0|82.0|119.0|83.0|73.0|106.0|-1.0|-0.2|19.0|70.8|1000000.0|20.0|4.0|-1.0|209.0|37.0|-1.0|4.5|2.0|||
AAOI|0|NASDAQ|2020|4|1|19|24|165885|7.48|7.18|7.39|7.34|0.3|2.7|-91.2|98.0|97.0|100.0|100.0|98.0|101.0|-2.3|-0.6|189.9|181.0|1000000.0|24.0|12.0|100.0|206.0|100.0|860.0|1.3|1.0|0.6|0.4|54.9|99.0|96.0|106.0|103.0|100.0|111.0|3.4|-1.6|58.3|253.2|-1000000.0|23.0|12.0|100.0|117.0|59.0|508.0|0.7|0.6|1.1|-1.3|216.3|104.0|82.0|134.0|127.0|100.0|164.0|-0.4|0.1|11.8|57.8|-1000000.0|19.0|12.0|100.0|63.0|39.0|337.0|0.3|-0.5|1.9|1.2|172.6|76.0|52.0|134.0|146.0|100.0|259.0|-1.2|-0.1|7.6|21.6|1000000.0|20.0|11.0|100.0|93.0|53.0|478.0|0.2|0.3||1.0|0.7339401811308925
AAWW|0|NASDAQ|2020|4|1|19|25|259437|25.65|24.02|24.49|24.559999|-2.4|4.8|-44.4|104.0|95.0|110.0|94.0|86.0|100.0|-3.8|0.4|49.2|205.9|1000000.0|44.0|33.0|100.0|131.0|97.0|297.0|-0.8|-0.9|-0.5|-3.2|1115.9|104.0|95.0|110.0|100.0|92.0|107.0|-0.9|0.4|47.4|65.5|1000000.0|38.0|23.0|100.0|164.0|100.0|432.0|1.4|0.0|-0.1|-1.2|932.6|112.0|95.0|149.0|109.0|93.0|145.0|-0.4|-0.7|7.6|38.9|-1000000.0|24.0|10.0|100.0|59.0|25.0|251.0|2.2|1.1|0.1|0.2|193.2|100.0|74.0|149.0|108.0|79.0|160.0|0.8|0.0|0.9|17.4|-1000000.0|31.0|10.0|117.0|46.0|15.0|172.0|3.0|1.4|||
AAXJ|0|NASDAQ|2020|4|1|19|24|402944|58.360001|57.32|57.540001|58.040001|0.3|3.8|-6775.0|98.0|96.0|100.0|99.0|98.0|101.0|-3.1|-0.4|51.8|178.8|1000000.0|42.0|33.0|100.0|128.0|100.0|307.0|3.6|-1.9|0.0|0.4|-1437.8|97.0|94.0|100.0|97.0|94.0|100.0|-0.1|0.5|25.5|69.0|-1000000.0|27.0|11.0|100.0|74.0|31.0|279.0|3.1|1.6|1.0|-0.7|8736.0|96.0|83.0|107.0|115.0|100.0|128.0|-0.7|0.6|15.5|47.7|1000000.0|18.0|7.0|100.0|72.0|30.0|410.0|0.8|1.2|0.6|0.8|1502.6|86.0|77.0|107.0|112.0|100.0|139.0|-0.9|-0.8|3.2|14.5|-1000000.0|21.0|7.0|110.0|56.0|19.0|288.0|1.9|1.5|||
