ELSE
OSUR
SIFY
AAWW
ASML
ASO
AXR
CAMT
CRVL
CCRN
DKS
EPSN
GCBC
HSII
INVE
MOV
PNRG
RCMT
RDWR
SBLK
UFPT
WST
ZIM
APEN
ATTO
CROX
GSM
LXU
QUAD
SALM
CEIX
DZAX
LLY
STKS
TTI

