|numvelasfp|empresa|numeroPredicciones|ratioFalsosPositivos|subgrupos
1052|8|AMTI|8|100.0000|SG_43;SG_4;SG_43;SG_42
1053|27|AKTS|27|100.0000|SG_14;SG_4;SG_42;SG_46;SG_47;SG_14;SG_4;SG_42;SG_47
1054|9|GBLI|9|100.0000|SG_4;SG_22;SG_10;SG_4;SG_10
1055|9|OFED|9|100.0000|SG_37;SG_5;SG_19;SG_10;SG_5;SG_19;SG_10
1056|10|HMNF|10|100.0000|SG_5;SG_10;SG_18;SG_5;SG_10;SG_18
1057|10|MRNA|10|100.0000|SG_42;SG_19;SG_2;SG_22;SG_19;SG_2
1058|10|ITCI|10|100.0000|SG_43;SG_3;SG_43
1059|22|MVBF|22|100.0000|SG_4;SG_41;SG_10;SG_4;SG_41;SG_10;SG_18
1060|10|JNCE|10|100.0000|SG_4;SG_43;SG_4
1061|10|EVLO|10|100.0000|SG_4;SG_43;SG_42;SG_4;SG_43;SG_42
1062|13|MOTS|13|100.0000|SG_37;SG_22;SG_43;SG_37;SG_22;SG_42
1063|22|AGIO|22|100.0000|SG_40;SG_3;SG_43;SG_40;SG_3;SG_43
1064|11|NRBO|11|100.0000|SG_43;SG_5;SG_43;SG_5;SG_42
1065|11|MACK|11|100.0000|SG_43;SG_5;SG_42;SG_43;SG_5;SG_42
1066|21|KRNY|21|100.0000|SG_4;SG_41;SG_22;SG_10;SG_4;SG_41;SG_22;SG_10
1067|11|ALGS|11|100.0000|SG_4;SG_4;SG_43
1068|1|MAYS|1|100.0000|SG_16
1069|11|CARV|11|100.0000|SG_5;SG_42;SG_10;SG_5;SG_10
1070|21|ISSC|21|100.0000|SG_12;SG_18;SG_12;SG_5;SG_42;SG_18
1071|21|NHTC|21|100.0000|SG_37;SG_5;SG_19;SG_41;SG_37;SG_5;SG_19
1072|12|CSPI|12|100.0000|SG_14;SG_22;SG_42;SG_14;SG_22
1073|20|MYFW|20|100.0000|SG_22;SG_5;SG_42;SG_10;SG_18;SG_5;SG_42;SG_10;SG_18
1074|22|MGPI|22|100.0000|SG_4;SG_41;SG_22;SG_47;SG_4;SG_41;SG_18;SG_47
1075|1|ATRI|1|100.0000|SG_19
