|numvelasfp|empresa|numeroPredicciones|ratioFalsosPositivos|subgrupos
857|12|MIST|13|92.3000|SG_43;SG_5;SG_43;SG_5;SG_42
858|12|ONCT|13|92.3000|SG_43;SG_5;SG_42;SG_43;SG_5
859|24|AZYO|26|92.3000|SG_24;SG_43;SG_5;SG_24;SG_43;SG_5
860|12|INGN|13|92.3000|SG_4;SG_43;SG_46;SG_4;SG_46
861|12|ISEE|13|92.3000|SG_4;SG_43;SG_42;SG_4;SG_43;SG_42
862|12|IBTX|13|92.3000|SG_3;SG_10;SG_18;SG_3;SG_22;SG_10;SG_18
863|12|BNGO|13|92.3000|SG_4;SG_43;SG_42;SG_4;SG_43;SG_42
864|24|AVNW|26|92.3000|SG_14;SG_4;SG_17;SG_14;SG_4;SG_17;SG_42
865|12|MOXC|13|92.3000|SG_14;SG_37;SG_5;SG_14;SG_37;SG_5
866|12|PLBC|13|92.3000|SG_22;SG_5;SG_46;SG_10;SG_41;SG_22;SG_5;SG_10;SG_18
867|12|OCUL|13|92.3000|SG_4;SG_22;SG_43;SG_4;SG_43;SG_42
868|24|KURA|26|92.3000|SG_4;SG_40;SG_43;SG_4;SG_40;SG_43;SG_42
869|12|AIKI|13|92.3000|SG_37;SG_5;SG_37;SG_43;SG_5;SG_42
870|24|ORGO|26|92.3000|SG_4;SG_22;SG_43;SG_18;SG_4;SG_22;SG_43;SG_42;SG_18
871|24|PLAB|26|92.3000|SG_14;SG_4;SG_22;SG_47;SG_14;SG_4;SG_22;SG_42;SG_18
872|36|EBC|39|92.3000|SG_20;SG_41;SG_3;SG_20;SG_41;SG_3;SG_10
873|12|LAZY|13|92.3000|SG_22;SG_5;SG_18;SG_47;SG_22;SG_5;SG_47
874|12|ONCR|13|92.3000|SG_43;SG_5;SG_43;SG_5
875|37|NEWT|40|92.5000|SG_4;SG_41;SG_37;SG_23;SG_10;SG_18;SG_4;SG_37;SG_23;SG_10;SG_18
876|25|CZWI|27|92.6000|SG_22;SG_5;SG_46;SG_10;SG_18;SG_41;SG_5;SG_46;SG_10;SG_18
877|25|BSRR|27|92.6000|SG_4;SG_41;SG_22;SG_10;SG_18;SG_4;SG_41;SG_22;SG_10;SG_18
878|26|MITO|28|92.9000|SG_37;SG_26;SG_5;SG_42;SG_37;SG_26;SG_43;SG_5
879|39|FLEX|42|92.9000|SG_14;SG_23;SG_40;SG_3;SG_42;SG_47;SG_14;SG_23;SG_40;SG_3;SG_46;SG_18;SG_47
880|26|ECHO|28|92.9000|SG_4;SG_22;SG_12;SG_19;SG_4;SG_22;SG_12;SG_42;SG_19
881|39|LOAN|42|92.9000|SG_16;SG_41;SG_37;SG_22;SG_5;SG_16;SG_41;SG_37;SG_22;SG_5;SG_18
882|13|LPTX|14|92.9000|SG_43;SG_5;SG_42;SG_43;SG_5
883|26|LFUS|28|92.9000|SG_14;SG_3;SG_22;SG_19;SG_47;SG_14;SG_41;SG_3;SG_22;SG_19;SG_47
884|13|MNSB|14|92.9000|SG_5;SG_42;SG_10;SG_18;SG_22;SG_5;SG_10;SG_18
