"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XENT","Intersect ENT, Inc.","21.68","$683.24M","2014","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/xent",
"IPLDP","Interstate Power and Light Company","25.4","$203.2M","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/ipldp",
"IVAC","Intevac, Inc.","5.97","$138.7M","1995","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/ivac",
"INTL","INTL FCStone Inc.","40","$766.55M","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/intl",
"ITCI","Intra-Cellular Therapies Inc.","9.71","$536.58M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/itci",
"XON","Intrexon Corporation","5.57","$902.73M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/xon",
"IIN","IntriCon Corporation","18.82","$164.83M","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/iin",
"INTU","Intuit Inc.","258.89","$67.33B","1993","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/intu",
"ISRG","Intuitive Surgical, Inc.","592.9","$68.52B","2000","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/isrg",
"PLW","Invesco 1-30 Laddered Treasury ETF","35.08","$177.15M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/plw",
"ADRA","Invesco BLDRS Asia 50 ADR Index Fund","33.1138","$18.21M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adra",
"ADRD","Invesco BLDRS Developed Markets 100 ADR Index Fund","21.93","$30.7M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adrd",
"ADRE","Invesco BLDRS Emerging Markets 50 ADR Index Fund","41.9225","$157.21M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adre",
"ADRU","Invesco BLDRS Europe Select ADR Index Fund","21.1","$9.5M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adru",
"BSML","Invesco BulletShares 2021 Municipal Bond ETF","25.065","$10.03M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bsml",
"BSMM","Invesco BulletShares 2022 Municipal Bond ETF","25.06","$10.02M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bsmm",
"BSMN","Invesco BulletShares 2023 Municipal Bond ETF","25.06","$10.02M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bsmn",
"BSMO","Invesco BulletShares 2024 Municipal Bond ETF","25.04","$10.02M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bsmo",
"BSMP","Invesco BulletShares 2025 Municipal Bond ETF","25.025","$10.01M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bsmp",
"BSMQ","Invesco BulletShares 2026 Municipal Bond ETF","24.95","$9.98M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bsmq",
"BSMR","Invesco BulletShares 2027 Municipal Bond ETF","24.91","$4.98M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bsmr",
"BSMS","Invesco BulletShares 2028 Municipal Bond ETF","24.935","$4.99M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bsms",
"BSMT","Invesco BulletShares 2029 Municipal Bond ETF","24.795","$4.96M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bsmt",
"PKW","Invesco BuyBack Achievers ETF","67.5","$1.33B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pkw",
"PFM","Invesco Dividend Achievers ETF","30.1195","$316.25M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pfm",
"PYZ","Invesco DWA Basic Materials Momentum ETF","60.6409","$54.58M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pyz",
"PEZ","Invesco DWA Consumer Cyclicals Momentum ETF","54.6629","$54.66M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pez",
"PSL","Invesco DWA Consumer Staples Momentum ETF","72.7194","$167.25M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/psl",
"PIZ","Invesco DWA Developed Markets Momentum ETF","28.01","$180.66M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/piz",
"PIE","Invesco DWA Emerging Markets Momentum ETF","18.435","$184.35M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pie",
"PXI","Invesco DWA Energy Momentum ETF","25.4226","$31.78M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pxi",
"PFI","Invesco DWA Financial Momentum ETF","38.3647","$65.22M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pfi",
"PTH","Invesco DWA Healthcare Momentum ETF","90.1","$130.65M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pth",
"PRN","Invesco DWA Industrials Momentum ETF","68.2007","$105.71M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/prn",
"PDP","Invesco DWA Momentum ETF","63.4262","$1.72B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pdp",
"DWAQ","Invesco DWA NASDAQ Momentum ETF","118.5191","$47.41M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwaq",
"DWAS","Invesco DWA SmallCap Momentum ETF","54.4348","$234.07M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwas",
"DWIN","Invesco DWA Tactical Multi-Asset Income ETF","25.295","$43M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwin",
"DWTR","Invesco DWA Tactical Sector Rotation ETF","32.6326","$70.16M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwtr",
"PTF","Invesco DWA Technology Momentum ETF","75.9337","$208.82M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ptf",
"PUI","Invesco DWA Utilities Momentum ETF","33.5868","$201.52M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pui",
"IDLB","Invesco FTSE International Low Beta Equal Weight ETF","28.41","$46.88M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/idlb",
"PRFZ","Invesco FTSE RAFI US 1500 Small-Mid ETF","134.03","$1.95B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/prfz",
"PIO","Invesco Global Water ETF","29.58","$193.75M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pio",
"PGJ","Invesco Golden Dragon China ETF","39.295","$186.65M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pgj",
"PEY","Invesco High Yield Equity Dividend Achievers ETF","18.46","$908.23M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pey",
"IPKW","Invesco International BuyBack Achievers ETF","32.99","$145.16M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ipkw",
"PID","Invesco International Dividend Achievers ETF","16.46","$733.29M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pid",
"KBWB","Invesco KBW Bank ETF","56.75","$607.23M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kbwb",
"KBWD","Invesco KBW High Dividend Yield Financial ETF","21.63","$294.17M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kbwd",
"KBWY","Invesco KBW Premium Yield Equity REIT ETF","31.39","$317.04M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kbwy",
"KBWP","Invesco KBW Property & Casualty Insurance ETF","71.14","$103.15M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kbwp",
"KBWR","Invesco KBW Regional Banking ETF","52.1463","$67.79M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/kbwr",
"LDRI","Invesco LadderRite 0-5 Year Corporate Bond ETF","25.285","$10.11M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ldri",
"PNQI","Invesco Nasdaq Internet ETF","137.7653","$544.17M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pnqi",
"PDBC","Invesco Optimum Yield Diversified Commodity Strategy No K-1 ET","15.88","$1.62B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pdbc",
"QQQ","Invesco QQQ Trust, Series 1","205.1","$82.33B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/qqq",
"ISDX","Invesco RAFI Strategic Developed ex-US ETF","25.5506","$250.4M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/isdx",
