"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AAPL","Apple Inc.","267.25","$1187.46B","1980","Technology","Computer Manufacturing","https://old.nasdaq.com/symbol/aapl"
"ZYXI","","","","","","",""
"ZYNE","","","","","","",""
"ZYME","","","","","","",""
"ZVO","","","","","","",""
"ZUO","","","","","","",""
"ZUMZ","","","","","","",""
"ZTS","","","","","","",""
"ZTR","","","","","","",""
"ZTO","","","","","","",""
"ZSL","","","","","","",""
"ZSAN","","","","","","",""
"ZS","","","","","","",""
"ZROZ","","","","","","",""
"ZOM","","","","","","",""
"ZNTL","","","","","","",""
"ZNTEU","","","","","","",""
"ZNH","","","","","","",""
"ZNGA","","","","","","",""
"ZM","","","","","","",""
"ZLAB","","","","","","",""
"ZKIN","","","","","","",""
"ZJPN","","","","","","",""
"ZIXI","","","","","","",""
"ZIOP","","","","","","",""
"ZIONP","","","","","","",""
"ZIONO","","","","","","",""
"ZIONN","","","","","","",""
"ZIONL","","","","","","",""
"ZION","","","","","","",""
"ZIG","","","","","","",""
"ZI","","","","","","",""
"ZHOK","","","","","","",""
"ZGYHW","","","","","","",""
"ZGYHU","","","","","","",""
"ZGYHR","","","","","","",""
"ZGYH","","","","","","",""
"ZGNX","","","","","","",""
"ZGBR","","","","","","",""
"ZG","","","","","","",""
"ZEUS","","","","","","",""
"ZEN","","","","","","",""
"ZEAL","","","","","","",""
"ZDGE","","","","","","",""
"ZDEU","","","","","","",""
"ZCMD","","","","","","",""
"ZCAN","","","","","","",""
"ZBRA","","","","","","",""
"ZBH","","","","","","",""
"ZAGG","","","","","","",""
"Z","","","","","","",""
"YYY","","","","","","",""
"YY","","","","","","",""
"YXI","","","","","","",""
"YVR","","","","","","",""
"YUMC","","","","","","",""
"YUM","","","","","","",""
"YTRA","","","","","","",""
"YTEN","","","","","","",""
"YSACU","","","","","","",""
"YRD","","","","","","",""
"YRCW","","","","","","",""
"YPF","","","","","","",""
"YORW","","","","","","",""
"YOLO","","","","","","",""
